px,py,vx,vy,px_measured,py_measured,gt_px,gt_py,gt_vx,gt_vy
16.5098,4.55946,3.96101,3.43354,16.7586,4.48231,16.4242,4.42242,3.80966,3.21109
16.6886,4.71165,3.87514,3.41508,16.6039,4.67344,16.613,4.5849,3.74,3.28438
16.847,4.88596,3.3266,3.21152,16.9236,5.10119,16.7983,4.75103,3.66817,3.35704
16.9905,5.13197,3.1512,3.60566,16.9955,5.21099,16.9799,4.92077,3.59416,3.42897
17.1689,5.27701,3.29676,3.65074,17.3421,4.64623,17.1579,5.09409,3.51797,3.50008
17.3231,5.45201,3.20684,3.68494,17.2894,5.43542,17.3319,5.27094,3.4396,3.57028
17.4896,5.58592,3.17489,3.52991,17.6463,4.74597,17.5019,5.45128,3.35907,3.63949
17.6875,5.67855,3.25446,3.2353,17.7853,5.62476,17.6679,5.63506,3.27637,3.70762
17.8428,5.84742,3.10121,3.20919,17.9216,6.07151,17.8297,5.82221,3.19151,3.77458
18.0053,6.07473,3.05169,3.49872,18.1263,6.16985,17.9872,6.01269,3.10453,3.84027
18.1593,6.28011,3.05447,3.7237,18.1245,6.79027,18.1402,6.20641,3.01542,3.90462
18.2659,6.5735,2.76088,4.20526,18.2164,6.66138,18.2888,6.40332,2.92421,3.96753
18.3966,6.79669,2.6047,4.30581,18.4022,7.02231,18.4328,6.60333,2.83093,4.0289
18.5565,6.88352,2.67945,3.83009,18.5422,6.76013,18.572,6.80638,2.7356,4.08867
18.7068,7.09453,2.82152,4.11839,18.8089,7.24388,18.7064,7.01237,2.63825,4.14672
18.9265,7.20405,3.0339,3.73996,19.1441,7.18344,18.8359,7.22122,2.53893,4.20299
19.0252,7.37227,2.58914,3.41649,18.5479,7.4012,18.9604,7.43283,2.43767,4.25737
19.0799,7.71827,2.22453,4.09338,19.0138,7.8688,19.0798,7.64712,2.3345,4.3098
19.2073,7.91439,2.32796,4.2556,19.3089,7.67375,19.1939,7.86397,2.22949,4.36017
19.2755,8.15217,2.09762,4.40796,19.132,8.12845,19.3028,8.08329,2.12266,4.40842
19.3719,8.36633,2.11173,4.57492,19.0239,8.17194,19.4062,8.30497,2.01409,4.45445
19.4823,8.47064,2.14199,4.105,19.347,8.30741,19.5042,8.5289,1.90381,4.49819
19.584,8.65663,2.02332,3.97324,19.6843,8.35902,19.5966,8.75494,1.7919,4.53956
19.752,8.82796,2.1612,3.87662,20.0039,8.8906,19.6835,8.983,1.67841,4.57848
19.8359,9.03043,1.9388,3.77405,19.6061,9.48659,19.7645,9.21294,1.56341,4.61488
19.9501,9.30119,1.877,4.10162,20.1574,9.45949,19.8398,9.44463,1.44697,4.64869
20.0039,9.50734,1.55176,3.92893,19.6163,9.76606,19.9093,9.67795,1.32916,4.67984
20.0668,9.78836,1.34736,4.28322,20.1573,9.90876,19.9728,9.91275,1.21005,4.70826
20.1169,10.0689,1.27824,4.84241,19.1911,11.5493,20.0303,10.1489,1.08972,4.73389
20.1475,10.3863,0.947024,5.17991,20.166,10.4687,20.0818,10.3863,0.968259,4.75666
20.1482,10.651,0.548546,5.10961,19.6775,10.803,20.1271,10.6247,0.845742,4.77652
20.2039,10.9213,0.433946,5.17086,20.371,11.0109,20.1663,10.864,0.722256,4.7934
20.209,11.2297,0.265267,5.61516,19.4335,12.3402,20.1993,11.1041,0.597892,4.80727
20.2712,11.4151,0.358565,5.2126,20.3164,11.3483,20.2261,11.3449,0.472738,4.81807
20.207,11.6781,-0.174606,4.88733,19.2063,12.2418,20.2466,11.5861,0.346889,4.82575
20.306,11.8541,0.00503166,4.55918,20.6141,11.9422,20.2608,11.8275,0.220439,4.83027
20.3217,12.1071,0.130011,5.22031,19.966,11.9688,20.2687,12.0692,0.093487,4.83159
20.3006,12.4256,-0.11395,5.46015,20.3263,12.4966,20.2701,12.3108,-0.0338694,4.82968
20.2404,12.6727,-0.539642,4.99102,20.0192,12.4823,20.2652,12.5522,-0.161529,4.82451
20.2962,12.8538,-0.385232,4.66117,20.498,12.8924,20.254,12.7933,-0.28939,4.81605
20.3019,13.06,-0.384589,4.59676,20.9151,12.2555,20.2363,13.0339,-0.417348,4.80428
20.2753,13.25,-0.457116,4.43898,20.1943,13.1688,20.2122,13.2738,-0.545298,4.78918
20.2404,13.4796,-0.55316,4.60991,19.858,13.5236,20.1818,13.5129,-0.673135,4.77072
20.2084,13.7669,-0.72856,4.81592,20.3245,13.8896,20.1449,13.7509,-0.800753,4.74892
20.1597,13.9812,-0.883972,4.54899,20.3387,13.5307,20.1017,13.9878,-0.928043,4.72374
20.0887,14.2614,-1.14839,4.73626,20.1216,14.337,20.0521,14.2233,-1.0549,4.69521
20.0157,14.4918,-1.29654,4.73745,19.6717,14.4038,19.9962,14.4573,-1.18121,4.66331
19.8853,14.7785,-1.69541,4.92551,19.781,14.773,19.934,14.6897,-1.30687,4.62805
19.8244,14.9875,-1.63721,4.86744,20.1149,14.0165,19.8655,14.9202,-1.43177,4.58944
19.8317,15.1622,-1.40383,4.49329,20.0208,15.2053,19.7908,15.1486,-1.55581,4.54751
19.7381,15.3239,-1.53532,3.58049,20.0157,15.3443,19.7099,15.3749,-1.67887,4.50226
19.7276,15.4708,-1.44742,3.35339,19.9131,15.554,19.6229,15.5989,-1.80085,4.45372
19.674,15.6287,-1.46556,3.44192,19.9388,15.0864,19.5298,15.8203,-1.92164,4.40193
19.5156,15.9106,-1.95763,3.86102,19.4748,16.0098,19.4307,16.039,-2.04114,4.3469
19.4291,16.1057,-1.95181,4.01324,19.1556,16.0022,19.3257,16.2549,-2.15925,4.28868
19.3051,16.3089,-2.11676,4.00336,19.238,16.2719,19.2148,16.4679,-2.27586,4.22731
19.1958,16.4928,-2.21417,3.8205,19.4007,16.2962,19.0981,16.6777,-2.39087,4.16284
19.0219,16.7614,-2.62703,4.08205,19.0029,16.8387,18.9757,16.8841,-2.50418,4.0953
18.8435,16.9761,-3.05833,3.77803,18.8373,17.7112,18.8477,17.0872,-2.61571,4.02476
18.6134,17.2613,-3.64941,3.99598,18.6148,17.3832,18.7142,17.2866,-2.72534,3.95127
18.5489,17.4389,-2.93598,3.93651,18.8177,17.0316,18.5752,17.4822,-2.83299,3.87489
18.3139,17.6634,-3.2965,4.07205,18.1023,17.5529,18.4309,17.674,-2.93858,3.79568
18.1568,17.8682,-3.29002,4.12524,18.2749,17.4877,18.2814,17.8617,-3.042,3.71372
18.0749,18.017,-3.00901,3.79884,18.2094,18.0461,18.1268,18.0453,-3.14318,3.62906
17.9244,18.1386,-3.02385,3.27765,18.3021,17.498,17.9671,18.2246,-3.24204,3.5418
17.8374,18.2425,-2.7985,2.95623,17.9018,18.2183,17.8026,18.3994,-3.3385,3.45199
17.7414,18.3852,-2.70185,2.831,18.8558,18.1364,17.6334,18.5697,-3.43247,3.35973
17.4821,18.6361,-3.33603,3.25023,17.3845,18.7039,17.4595,18.7353,-3.5239,3.26509
17.316,18.7603,-3.41275,2.96168,17.7945,18.0801,17.281,18.8962,-3.61271,3.16817
17.1604,18.8918,-3.41762,2.80243,17.1762,18.8863,17.0983,19.0521,-3.69883,3.06904
16.998,19.0588,-3.46603,2.8135,16.9398,19.7311,16.9113,19.203,-3.78221,2.9678
16.7538,19.1996,-3.78009,2.79234,16.5734,19.052,16.7201,19.3488,-3.86278,2.86455
16.5477,19.3667,-3.99557,2.77944,16.1674,20.2201,16.5251,19.4894,-3.9405,2.75938
16.2765,19.5654,-4.40746,2.92234,16.2338,19.6171,16.3262,19.6246,-4.01531,2.65237
16.0581,19.6432,-4.43656,2.53824,16.4366,18.2742,16.1237,19.7545,-4.08716,2.54364
15.8513,19.7821,-4.47831,2.42076,15.9243,19.8703,15.9176,19.8789,-4.15602,2.43329
15.6824,19.8926,-4.0468,2.28911,16.2328,19.2166,15.7082,19.9978,-4.22185,2.32141
15.4235,20.0724,-4.37753,2.46184,15.4332,20.1836,15.4956,20.111,-4.28461,2.2081
15.1778,20.2359,-4.59458,2.53179,14.3677,21.3406,15.2799,20.2185,-4.34427,2.09347
15.0419,20.334,-4.26582,2.26775,15.2016,20.4385,15.0613,20.3203,-4.4008,1.97763
14.8144,20.4105,-4.42798,2.0321,14.7476,19.9571,14.84,20.4162,-4.4542,1.86068
14.6059,20.5253,-4.44628,1.94709,14.6665,20.6088,14.6161,20.5063,-4.50443,1.74272
14.3511,20.6247,-4.75074,1.82208,13.841,21.0031,14.3897,20.5904,-4.55149,1.62386
14.1089,20.6895,-4.78996,1.61631,14.0521,20.5924,14.1611,20.6686,-4.59537,1.50421
13.8643,20.7685,-4.89233,1.46207,13.8232,20.859,13.9304,20.7408,-4.63606,1.38386
13.5722,20.835,-5.11006,1.32886,13.4686,20.7253,13.6977,20.807,-4.67357,1.26294
13.3234,20.8701,-5.22419,1.01645,13.8263,20.4261,13.4632,20.8671,-4.70789,1.14153
13.0995,20.8848,-5.0729,0.709565,13.1072,20.8294,13.2271,20.9211,-4.73904,1.01975
12.8839,20.9381,-4.75764,0.611825,13.2669,21.1579,12.9895,20.969,-4.76702,0.897694
12.7347,20.9514,-4.42808,0.353158,12.8729,21.0592,12.7506,21.0108,-4.79186,0.775469
12.4827,20.9935,-4.55782,0.289004,11.5171,21.6724,12.5106,21.0465,-4.81358,0.653175
12.2154,21.0424,-4.74579,0.259802,12.2062,21.11,12.2695,21.0761,-4.83219,0.530912
11.993,21.055,-4.73015,0.0943553,12.3859,21.1066,12.0276,21.0996,-4.84773,0.408778
11.7546,21.0209,-4.70572,-0.153002,11.6814,20.8651,11.785,21.117,-4.86022,0.286869
11.5232,20.9999,-4.61252,-0.316173,11.5265,20.6748,11.5418,21.1283,-4.86971,0.165281
11.3123,20.9935,-4.53612,-0.453215,11.363,21.0688,11.2982,21.1335,-4.87623,0.0441057
11.0651,20.9504,-4.56133,-0.628864,10.5558,20.5567,11.0544,21.1327,-4.87982,-0.076565
10.8616,20.912,-4.44363,-0.806586,10.8903,20.927,10.8105,21.1259,-4.88053,-0.196643
10.6135,20.9086,-4.21011,-0.683166,9.30535,21.3896,10.5666,21.1131,-4.8784,-0.31604
10.2517,20.9897,-4.82101,-0.34311,10.189,21.209,10.3229,21.0943,-4.87349,-0.434674
10.0139,20.9654,-4.98497,-0.554732,9.97958,21.2932,10.0795,21.0697,-4.86585,-0.552463
9.87162,20.9136,-4.51275,-0.781719,9.99634,20.9797,9.83658,21.0391,-4.85554,-0.669327
9.64994,20.8951,-4.31044,-0.739733,9.38223,21.111,9.59422,21.0028,-4.84262,-0.785189
9.4839,20.8479,-4.09711,-0.873337,9.53921,20.8762,9.35258,20.9607,-4.82714,-0.899977
9.27892,20.7978,-4.32835,-1.11471,9.63392,20.9724,9.11177,20.9128,-4.80919,-1.01362
8.87666,20.8105,-5.0649,-0.892266,8.70331,20.8221,8.87192,20.8594,-4.78881,-1.12605
8.6755,20.7231,-4.89538,-1.20633,9.84634,20.009,8.63315,20.8003,-4.76608,-1.2372
8.34939,20.6513,-5.21527,-1.28745,8.22277,20.4839,8.39557,20.7358,-4.74108,-1.34701
8.09773,20.5791,-5.1887,-1.43769,8.29647,20.4978,8.1593,20.6657,-4.71387,-1.45542
7.87154,20.489,-5.00985,-1.60442,7.88599,20.45,7.92445,20.5903,-4.68453,-1.56237
7.64619,20.4088,-5.01873,-1.8361,8.29081,20.6565,7.69111,20.5096,-4.65313,-1.66781
7.27366,20.3605,-5.50731,-1.76969,7.18029,20.392,7.45939,20.4237,-4.61975,-1.7717
7.00419,20.2751,-5.3636,-1.77435,7.09214,20.1196,7.22939,20.3326,-4.58448,-1.87399
6.77895,20.1776,-5.15012,-1.90751,6.81542,20.1859,7.00119,20.2364,-4.54738,-1.97462
6.5419,20.0883,-5.00347,-1.96459,6.89359,20.1536,6.7749,20.1352,-4.50854,-2.07357
6.3417,19.9846,-4.75914,-2.08708,6.38914,20.0137,6.55059,20.0292,-4.46805,-2.17079
6.12995,19.8904,-4.68083,-2.22312,6.67637,20.2142,6.32834,19.9183,-4.42598,-2.26625
5.87285,19.7936,-4.73629,-2.28519,5.86119,19.8306,6.10823,19.8027,-4.38241,-2.35993
5.61401,19.6549,-4.93625,-2.59928,5.28178,19.5036,5.89034,19.6824,-4.33744,-2.45178
5.53553,19.5029,-4.16179,-2.79316,5.69089,19.5755,5.67472,19.5577,-4.29114,-2.5418
5.3634,19.3469,-3.89044,-2.93179,5.9506,18.9859,5.46145,19.4284,-4.24359,-2.62995
5.14945,19.2467,-3.88848,-2.95097,5.17021,19.4397,5.25059,19.2948,-4.19488,-2.71622
5.01206,19.124,-3.42988,-2.83229,5.87397,19.301,5.04219,19.157,-4.1451,-2.80059
4.86768,18.9785,-3.23781,-2.95034,4.89149,18.982,4.8363,19.015,-4.09432,-2.88305
4.6628,18.8274,-3.45527,-3.23884,3.98679,19.0452,4.63297,18.8689,-4.04263,-2.96359
4.46713,18.7,-3.46011,-3.24982,4.4685,18.834,4.43224,18.7188,-3.99012,-3.0422
4.3215,18.55,-3.12938,-3.12581,4.69245,18.4634,4.23416,18.5648,-3.93685,-3.11888
4.20946,18.4039,-2.87265,-3.1908,4.26269,18.481,4.03876,18.4071,-3.88293,-3.19362
4.01238,18.2373,-3.33275,-3.78204,3.42434,18.8357,3.84606,18.2457,-3.82841,-3.26644
3.6397,18.1027,-4.11622,-3.5528,3.45919,18.167,3.65611,18.0807,-3.77339,-3.33732
3.47164,17.9554,-3.73541,-3.24971,4.3011,17.9267,3.46891,17.9122,-3.71795,-3.40627
3.20379,17.7974,-4.06131,-3.24814,3.12525,17.7493,3.28449,17.7402,-3.66215,-3.47331
2.98295,17.6178,-4.35865,-3.67003,2.65664,17.888,3.10287,17.565,-3.60609,-3.53844
2.83992,17.4963,-4.00089,-3.58384,2.9449,17.8154,2.92405,17.3866,-3.54982,-3.60167
2.6796,17.2818,-3.93555,-4.00918,3.26647,17.0897,2.74805,17.2051,-3.49344,-3.66302
2.52292,17.0794,-3.6852,-4.09237,2.55407,17.0853,2.57486,17.0205,-3.437,-3.72251
2.36958,16.9119,-3.20865,-3.61806,2.55039,16.8884,2.4045,16.833,-3.38059,-3.78014
2.22946,16.7487,-3.06582,-3.63528,2.25371,16.8334,2.23695,16.6427,-3.32428,-3.83595
2.04398,16.5471,-3.09608,-3.68935,1.57735,16.0489,2.07221,16.4497,-3.26812,-3.88995
1.89997,16.3175,-2.98954,-3.85851,1.88972,16.1054,1.91027,16.254,-3.21219,-3.94216
1.75308,16.1394,-2.86963,-3.79012,1.74362,16.2687,1.75112,16.0557,-3.15656,-3.99261
1.52065,15.9811,-3.17353,-3.74857,1.44745,16.0853,1.59474,15.8549,-3.10129,-4.04132
1.385,15.7478,-3.22299,-4.33554,1.6097,15.5526,1.44111,15.6517,-3.04644,-4.08832
1.20587,15.5153,-3.22964,-4.43669,1.18395,15.4284,1.29021,15.4463,-2.99207,-4.13364
1.02821,15.3245,-3.14336,-4.1922,0.828993,15.528,1.14201,15.2386,-2.93825,-4.1773
0.792499,15.1011,-3.43904,-4.25476,0.722706,15.0075,0.996486,15.0288,-2.88503,-4.21933
0.65202,14.9211,-3.18687,-4.01375,1.03147,15.2134,0.853604,14.8169,-2.83246,-4.25977
0.626806,14.717,-2.5955,-4.00214,0.737301,14.7047,0.71333,14.603,-2.78061,-4.29864
0.503636,14.4746,-2.67761,-4.55315,0.722177,14.2445,0.575628,14.3872,-2.72952,-4.33598
0.308976,14.2412,-2.85139,-4.62528,0.253435,14.2029,0.440459,14.1696,-2.67925,-4.37181
0.150623,13.9887,-2.94257,-4.98595,-0.0328023,13.9604,0.307779,13.9502,-2.62984,-4.40617
0.251473,13.7294,-1.77435,-4.95249,0.459172,13.6856,0.177545,13.7292,-2.58135,-4.43909
0.154751,13.489,-1.65294,-5.01634,0.0524412,13.6377,0.0497099,13.5065,-2.53381,-4.47061
-0.0630801,13.2484,-2.05929,-5.05017,-0.190344,13.2856,-0.0757753,13.2823,-2.48728,-4.50075
-0.179137,13.0323,-1.91791,-4.63043,-0.275043,13.1456,-0.198962,13.0566,-2.44179,-4.52955
-0.107229,12.8262,-1.17265,-4.53264,0.0462308,12.9301,-0.319903,12.8295,-2.39739,-4.55704
-0.215696,12.5984,-1.19735,-4.44195,-0.684792,12.3563,-0.438654,12.6011,-2.35412,-4.58326
-0.373909,12.3746,-1.46607,-4.48083,-0.476482,12.3633,-0.555273,12.3714,-2.31202,-4.60823
-0.501345,12.1672,-1.62409,-4.51858,-0.972122,12.5207,-0.669818,12.1404,-2.27111,-4.63198
-0.581518,11.9604,-1.55884,-4.49581,-0.582624,12.0386,-0.78235,11.9083,-2.23144,-4.65456
-0.731684,11.7276,-1.83244,-4.60742,-1.26757,11.6495,-0.892931,11.6751,-2.19304,-4.67598
-1.00147,11.4781,-2.59958,-4.60281,-1.17212,11.3988,-1.00163,11.4409,-2.15594,-4.69628
-1.10806,11.2458,-2.49599,-4.47384,-0.891441,10.959,-1.1085,11.2057,-2.12017,-4.71549
-1.31476,11.0234,-2.89358,-4.4688,-1.39289,11.0424,-1.21362,10.9695,-2.08575,-4.73364
-1.41147,10.7693,-2.84546,-5.07074,-1.29894,10.9012,-1.31706,10.7324,-2.05273,-4.75075
-1.53007,10.5034,-2.7411,-5.09415,-1.49687,10.4198,-1.41889,10.4945,-2.02111,-4.76686
-1.65742,10.2294,-2.72661,-5.28788,-1.59293,10.0212,-1.51917,10.2559,-1.99093,-4.78198
-1.68525,10.0302,-2.20629,-5.06097,-1.61875,10.2374,-1.61797,10.0165,-1.96221,-4.79615
-1.75759,9.80401,-1.96374,-4.84987,-1.59702,9.96554,-1.71539,9.77637,-1.93498,-4.80939
-1.78451,9.60084,-1.61492,-4.71872,-1.73381,9.71347,-1.81147,9.53564,-1.90924,-4.82172
-1.93324,9.33784,-1.87826,-5.09883,-2.27191,9.37316,-1.90631,9.29431,-1.88502,-4.83316
-2.00444,9.0301,-1.72606,-5.25657,-1.93833,8.77028,-1.99998,9.05243,-1.86233,-4.84374
-2.06548,8.81622,-1.50131,-4.80723,-1.96565,9.13274,-2.09256,8.81003,-1.8412,-4.85347
-2.16027,8.56769,-1.52254,-4.86749,-2.1768,8.5411,-2.18412,8.56717,-1.82164,-4.86238
-2.32247,8.29981,-1.86245,-5.02892,-2.65862,8.19477,-2.27474,8.32388,-1.80365,-4.87047
-2.31552,8.0861,-1.38582,-4.88635,-2.21875,8.15339,-2.3645,8.0802,-1.78726,-4.87778
-2.33414,7.89217,-1.09727,-4.70442,-2.273,8.52315,-2.45348,7.83617,-1.77248,-4.8843
-2.48695,7.62881,-1.4381,-4.88004,-2.59674,7.60288,-2.54177,7.59184,-1.75931,-4.89006
-2.67942,7.37912,-1.8908,-4.66607,-3.08256,7.38874,-2.62944,7.34723,-1.74777,-4.89507
-2.79357,7.1288,-2.00353,-4.71626,-2.79865,7.064,-2.71658,7.10238,-1.73786,-4.89933
-2.82728,6.90372,-1.72384,-4.9904,-2.79412,7.20818,-2.80326,6.85734,-1.72958,-4.90286
-2.82009,6.7225,-1.26314,-4.67047,-2.74651,6.86867,-2.88957,6.61214,-1.72295,-4.90566
-2.82442,6.52769,-0.951129,-4.20807,-2.57673,6.36755,-2.97559,6.36681,-1.71797,-4.90774
-2.89398,6.29451,-0.986255,-4.31779,-2.90217,6.22989,-3.0614,6.12139,-1.71464,-4.90911
-3.05926,6.02271,-1.4516,-4.74463,-3.50172,6.10796,-3.14709,5.87592,-1.71297,-4.90976
-3.17755,5.72373,-1.68596,-4.94956,-3.1778,5.53101,-3.23274,5.63043,-1.71295,-4.9097
-3.29959,5.46371,-1.88693,-4.79725,-3.19736,5.19093,-3.31843,5.38496,-1.71458,-4.90893
-3.42319,5.19254,-2.0811,-4.91331,-3.43031,5.10507,-3.40424,5.13955,-1.71787,-4.90745
-3.47474,4.94912,-1.84055,-5.11502,-3.4281,4.94644,-3.49026,4.89422,-1.72281,-4.90525
-3.63396,4.6307,-2.19116,-5.4438,-3.69435,4.52196,-3.57657,4.64902,-1.72939,-4.90233
-3.73763,4.37096,-2.21331,-5.20427,-3.50501,4.17643,-3.66325,4.40398,-1.73763,-4.89868
-3.90699,4.0721,-2.53573,-5.42505,-4.00238,4.04684,-3.75039,4.15913,-1.74749,-4.8943
-3.94836,3.8602,-2.03976,-5.29589,-4.06447,4.10977,-3.83806,3.91452,-1.75899,-4.88918
-3.98599,3.66905,-1.7382,-4.86205,-3.88053,3.75177,-3.92635,3.67019,-1.77212,-4.8833
-4.04146,3.5199,-1.54614,-4.294,-4.23729,3.88878,-4.01533,3.42616,-1.78686,-4.87666
-4.13806,3.27224,-1.63201,-4.47081,-4.15119,3.21968,-4.10509,3.18248,-1.8032,-4.86925
-4.2684,2.99433,-1.899,-4.68621,-4.27467,2.88187,-4.19571,2.93919,-1.82113,-4.86104
-4.37992,2.69185,-2.06068,-4.99103,-4.32451,2.55034,-4.28727,2.69633,-1.84065,-4.85202
-4.45763,2.44872,-1.89758,-4.97399,-4.38481,2.39989,-4.37985,2.45393,-1.86173,-4.84218
-4.57462,2.15563,-1.99872,-5.22752,-4.61223,2.09192,-4.47352,2.21205,-1.88436,-4.83149
-4.67167,1.94899,-2.15786,-4.894,-4.29257,1.92854,-4.56836,1.97072,-1.90853,-4.81994
